Pillar,Article Title,Slug,URL,Status,Claimed By,Notes
AI and Your Career,How AI is changing your job,how-ai-changes-your-job,https://www.mvpclub.ai/learn/how-ai-changes-your-job,Draft — needs review,,
AI and Your Career,AI skills that matter for career advancement,ai-skills-for-career,https://www.mvpclub.ai/learn/ai-skills-for-career,Draft — needs review,,
AI and Your Career,How to talk about AI on your resume,ai-on-your-resume,https://www.mvpclub.ai/learn/ai-on-your-resume,Draft — needs review,,
AI and Your Career,"AI and job security: an honest assessment",ai-and-job-security,https://www.mvpclub.ai/learn/ai-and-job-security,Draft — needs review,,
AI and Your Career,How to become the AI person on your team,become-the-ai-person,https://www.mvpclub.ai/learn/become-the-ai-person,Draft — needs review,,
AI and Your Career,The career advantage of daily AI practice,career-advantage-ai-practice,https://www.mvpclub.ai/learn/career-advantage-ai-practice,Draft — needs review,,
AI and Your Career,"AI skills vs understanding: what employers want",ai-skills-vs-understanding,https://www.mvpclub.ai/learn/ai-skills-vs-understanding,Draft — needs review,,
AI and Your Career,Navigating AI anxiety,navigating-ai-anxiety,https://www.mvpclub.ai/learn/navigating-ai-anxiety,Draft — needs review,,
AI and Your Career,Evaluating AI job titles and opportunities,evaluating-ai-jobs,https://www.mvpclub.ai/learn/evaluating-ai-jobs,Draft — needs review,,
AI and Your Career,The silent AI users,silent-ai-users,https://www.mvpclub.ai/learn/silent-ai-users,Draft — needs review,,
Human + AI Collaboration,The managerial relationship with AI,managerial-relationship-with-ai,https://www.mvpclub.ai/learn/managerial-relationship-with-ai,Draft — needs review,,
Human + AI Collaboration,AI as a thinking tool,ai-as-thinking-tool,https://www.mvpclub.ai/learn/ai-as-thinking-tool,Draft — needs review,,
Human + AI Collaboration,"When AI gets it wrong: the human judgment layer",when-ai-gets-it-wrong,https://www.mvpclub.ai/learn/when-ai-gets-it-wrong,Draft — needs review,,
Human + AI Collaboration,"AI and creativity: collaborative ideas",ai-and-creativity,https://www.mvpclub.ai/learn/ai-and-creativity,Draft — needs review,,
Human + AI Collaboration,"Do first, understand later",do-first-understand-later,https://www.mvpclub.ai/learn/do-first-understand-later,Draft — needs review,,
Human + AI Collaboration,How to iterate with AI,how-to-iterate-with-ai,https://www.mvpclub.ai/learn/how-to-iterate-with-ai,Draft — needs review,,
Human + AI Collaboration,AI amplifies your expertise,ai-amplifies-expertise,https://www.mvpclub.ai/learn/ai-amplifies-expertise,Draft — needs review,,
Human + AI Collaboration,What Human + AI looks like across work types,human-ai-across-work,https://www.mvpclub.ai/learn/human-ai-across-work,Draft — needs review,,
AI Tools and Productivity,AI Tools That Flopped: Honest Reviews of What Didn't Work,ai-tools-that-flopped,https://www.mvpclub.ai/learn/ai-tools-that-flopped,Draft — needs review,,
AI Tools and Productivity,AI Tools Your Company Already Has (And Isn't Using),ai-tools-you-already-have,https://www.mvpclub.ai/learn/ai-tools-you-already-have,Draft — needs review,,
AI Tools and Productivity,AI Tools for Research and Analysis: A Professional's Guide,ai-tools-for-research,https://www.mvpclub.ai/learn/ai-tools-for-research,Draft — needs review,,
AI Tools and Productivity,"AI Tools for Writing: When to Use What",ai-writing-tools-compared,https://www.mvpclub.ai/learn/ai-writing-tools-compared,Draft — needs review,,
AI Tools and Productivity,"ChatGPT vs Claude vs Gemini: Best AI for Work in 2026",chatgpt-vs-claude-vs-gemini,https://www.mvpclub.ai/learn/chatgpt-vs-claude-vs-gemini,Draft — needs review,,
AI Tools and Productivity,How to Use ChatGPT for Professional Work,chatgpt-for-professional-work,https://www.mvpclub.ai/learn/chatgpt-for-professional-work,Draft — needs review,,
AI Tools and Productivity,How to Use Claude for Professional Work,claude-for-professional-work,https://www.mvpclub.ai/learn/claude-for-professional-work,Draft — needs review,,
AI Tools and Productivity,"Is the $20/Month AI Subscription Worth It? Free vs Paid Compared",ai-subscription-worth-it,https://www.mvpclub.ai/learn/ai-subscription-worth-it,Draft — needs review,,
AI Tools and Productivity,New AI Tools Worth Trying This Month (April 2026),new-ai-tools-april-2026,https://www.mvpclub.ai/learn/new-ai-tools-april-2026,Draft — needs review,,
AI Tools and Productivity,"The AI Tool Stack: What to Combine for Maximum Results",ai-tool-stack,https://www.mvpclub.ai/learn/ai-tool-stack,Draft — needs review,,
AI at Work,"AI Workplace Policies: What You Need to Know Before Using AI at Your Job",ai-workplace-policies,https://www.mvpclub.ai/learn/ai-workplace-policies,Draft — needs review,,
AI at Work,"AI for Data Analysis: Turning Spreadsheets into Insights Without Coding",ai-for-data-analysis,https://www.mvpclub.ai/learn/ai-for-data-analysis,Draft — needs review,,
AI at Work,"AI for Email Writing: Drafting, Summarizing, and Managing Your Inbox",ai-for-email,https://www.mvpclub.ai/learn/ai-for-email,Draft — needs review,,
AI at Work,"AI for Presentations: Creating Decks in Minutes, Not Hours",ai-for-presentations,https://www.mvpclub.ai/learn/ai-for-presentations,Draft — needs review,,
AI at Work,"AI for Writing: Reports, Proposals, and Professional Documents",ai-for-writing,https://www.mvpclub.ai/learn/ai-for-writing,Draft — needs review,,
AI at Work,How to Build AI into Your Daily Workflow (The 30-Minute Habit),ai-daily-workflow,https://www.mvpclub.ai/learn/ai-daily-workflow,Draft — needs review,,
AI at Work,How to Get Better Results from AI (Beyond Basic Prompting),better-ai-results,https://www.mvpclub.ai/learn/better-ai-results,Draft — needs review,,
AI at Work,"How to Use AI at Work: A Practical Guide for Busy Professionals",how-to-use-ai-at-work,https://www.mvpclub.ai/learn/how-to-use-ai-at-work,Draft — needs review,,
AI at Work,How to Use AI for Meeting Notes and Action Items,ai-for-meeting-notes,https://www.mvpclub.ai/learn/ai-for-meeting-notes,Draft — needs review,,
AI at Work,How to Use ChatGPT at Work (Without Getting in Trouble with IT),chatgpt-at-work,https://www.mvpclub.ai/learn/chatgpt-at-work,Draft — needs review,,
AI at Work,What to Do When AI Gives You Bad Output (The Iteration Skill),when-ai-gives-bad-output,https://www.mvpclub.ai/learn/when-ai-gives-bad-output,Draft — needs review,,
AI for [Your Role],"AI for Consultants: Research, Deliverables, and Client Communication",ai-for-consultants,https://www.mvpclub.ai/learn/ai-for-consultants,Draft — needs review,,
AI for [Your Role],"AI for Executive Assistants: Scheduling, Communications, and Research",ai-for-executive-assistants,https://www.mvpclub.ai/learn/ai-for-executive-assistants,Draft — needs review,,
AI for [Your Role],"AI for Finance Professionals: Analysis, Forecasting, and Reporting",ai-for-finance,https://www.mvpclub.ai/learn/ai-for-finance,Draft — needs review,,
AI for [Your Role],"AI for HR Professionals: Recruiting, Onboarding, and Policy Development",ai-for-hr,https://www.mvpclub.ai/learn/ai-for-hr,Draft — needs review,,
AI for [Your Role],"AI for L&D Professionals: Building Training Without a Training Budget",ai-for-learning-development,https://www.mvpclub.ai/learn/ai-for-learning-development,Draft — needs review,,
AI for [Your Role],"AI for Marketing Professionals: Campaigns, Copy, and Analytics",ai-for-marketing,https://www.mvpclub.ai/learn/ai-for-marketing,Draft — needs review,,
AI for [Your Role],"AI for Nonprofit Professionals: Grant Writing, Donor Outreach, and Reporting",ai-for-nonprofits,https://www.mvpclub.ai/learn/ai-for-nonprofits,Draft — needs review,,
AI for [Your Role],"AI for Operations Managers: Process Improvement and Workflow Automation",ai-for-operations,https://www.mvpclub.ai/learn/ai-for-operations,Draft — needs review,,
AI for [Your Role],"AI for People Managers: Performance Reviews, 1:1 Prep, and Team Communication",ai-for-people-managers,https://www.mvpclub.ai/learn/ai-for-people-managers,Draft — needs review,,
AI for [Your Role],"AI for Project Managers: Planning, Risk Tracking, and Status Reporting",ai-for-project-managers,https://www.mvpclub.ai/learn/ai-for-project-managers,Draft — needs review,,
AI for [Your Role],"AI for Sales Professionals: Prospecting, Proposals, and Follow-Up",ai-for-sales,https://www.mvpclub.ai/learn/ai-for-sales,Draft — needs review,,
AI for [Your Role],"AI for Small Business Owners: Doing More with a Lean Team",ai-for-small-business,https://www.mvpclub.ai/learn/ai-for-small-business,Draft — needs review,,
Building with AI,"AI-Built Tools That Saved Hours: Real Examples",ai-tools-community-built,https://www.mvpclub.ai/learn/ai-tools-community-built,Draft — needs review,,
Building with AI,Build Internal Tools with AI (No Engineering Required),building-internal-tools,https://www.mvpclub.ai/learn/building-internal-tools,Draft — needs review,,
Building with AI,Building a Portfolio of AI Projects for Career Advancement,ai-project-portfolio,https://www.mvpclub.ai/learn/ai-project-portfolio,Draft — needs review,,
Building with AI,"From Idea to Deployed Product: What the Build Looks Like",idea-to-deployed-product,https://www.mvpclub.ai/learn/idea-to-deployed-product,Draft — needs review,,
Building with AI,How to Describe What You Want to AI,describing-what-you-want,https://www.mvpclub.ai/learn/describing-what-you-want,Draft — needs review,,
Building with AI,How to Use Claude Code as a Non-Developer,claude-code-for-non-developers,https://www.mvpclub.ai/learn/claude-code-for-non-developers,Draft — needs review,,
Building with AI,The Creative Joy of Building with AI,creative-joy-of-building,https://www.mvpclub.ai/learn/creative-joy-of-building,Draft — needs review,,
Building with AI,"What Is Vibe Coding? A Plain-English Explanation",what-is-vibe-coding,https://www.mvpclub.ai/learn/what-is-vibe-coding,Draft — needs review,,
Building with AI,When to Build vs. When to Buy AI Tools,build-vs-buy-ai,https://www.mvpclub.ai/learn/build-vs-buy-ai,Draft — needs review,,
Building with AI,Your First Vibe Coding Project in 60 Minutes,first-vibe-coding-project,https://www.mvpclub.ai/learn/first-vibe-coding-project,Draft — needs review,,
Getting Started with AI,"AI Jargon Decoded: The Only Terms That Matter for Non-Technical People",ai-jargon-decoded,https://www.mvpclub.ai/learn/ai-jargon-decoded,Draft — needs review,,
Getting Started with AI,"AI in 10 Minutes: What You Actually Need to Know (and What You Can Skip)",ai-in-10-minutes,https://www.mvpclub.ai/learn/ai-in-10-minutes,Draft — needs review,,
Getting Started with AI,"How to Explain AI to Your Boss, Team, or Skeptical Colleague",explain-ai-to-your-team,https://www.mvpclub.ai/learn/explain-ai-to-your-team,Draft — needs review,,
Getting Started with AI,How to Find Time for AI When You're Already Busy,finding-time-for-ai,https://www.mvpclub.ai/learn/finding-time-for-ai,Draft — needs review,,
Getting Started with AI,"The AI Learning Path: What to Focus on First, Second, and Third",ai-learning-path,https://www.mvpclub.ai/learn/ai-learning-path,Draft — needs review,,
Getting Started with AI,The Biggest Mistakes People Make When Getting Started with AI,ai-beginner-mistakes,https://www.mvpclub.ai/learn/ai-beginner-mistakes,Draft — needs review,,
Getting Started with AI,What AI Can and Can't Do Right Now (An Honest Rundown),what-ai-can-and-cant-do,https://www.mvpclub.ai/learn/what-ai-can-and-cant-do,Draft — needs review,,
Getting Started with AI,"Your First Week with AI: A Day-by-Day Practice Guide",first-week-with-ai,https://www.mvpclub.ai/learn/first-week-with-ai,Draft — needs review,,
Leading AI at Your Organization,AI Governance for Non-Technical Leaders,ai-governance-guide,https://www.mvpclub.ai/learn/ai-governance-guide,Draft — needs review,,
Leading AI at Your Organization,Building an AI Champions Network at Your Company,ai-champions-network,https://www.mvpclub.ai/learn/ai-champions-network,Draft — needs review,,
Leading AI at Your Organization,"Case Study: How to Become the AI Leader at Your Organization",becoming-ai-leader-case-study,https://www.mvpclub.ai/learn/becoming-ai-leader-case-study,Draft — needs review,,
Leading AI at Your Organization,Common AI Adoption Mistakes (And What to Do Instead),ai-adoption-mistakes,https://www.mvpclub.ai/learn/ai-adoption-mistakes,Draft — needs review,,
Leading AI at Your Organization,How to Choose AI Tools for Your Team,choosing-ai-tools-for-team,https://www.mvpclub.ai/learn/choosing-ai-tools-for-team,Draft — needs review,,
Leading AI at Your Organization,How to Handle AI Skeptics on Your Team,handling-ai-skeptics,https://www.mvpclub.ai/learn/handling-ai-skeptics,Draft — needs review,,
Leading AI at Your Organization,How to Pitch an AI Pilot to Leadership,pitch-ai-to-leadership,https://www.mvpclub.ai/learn/pitch-ai-to-leadership,Draft — needs review,,
Leading AI at Your Organization,How to Run an AI Workshop Your Team Will Actually Enjoy,run-ai-workshop,https://www.mvpclub.ai/learn/run-ai-workshop,Draft — needs review,,
Leading AI at Your Organization,"Measuring AI Adoption: What to Track",measuring-ai-adoption,https://www.mvpclub.ai/learn/measuring-ai-adoption,Draft — needs review,,
Leading AI at Your Organization,"The AI Adoption Roadmap: From Curiosity to Capability",ai-adoption-roadmap,https://www.mvpclub.ai/learn/ai-adoption-roadmap,Draft — needs review,,
